Visiting 2147, was 18446744073709551615 now lower: 1
Visiting 2373, was 18446744073709551615 now lower: 1
Visiting 2261, was 18446744073709551615 now lower: 1
Visiting 2148, was 18446744073709551615 now lower: 2
Visiting 2374, was 18446744073709551615 now lower: 2
Visiting 2262, was 18446744073709551615 now lower: 2
Visiting 2375, was 18446744073709551615 now lower: 3
Visiting 2263, was 18446744073709551615 now lower: 3
Visiting 2376, was 18446744073709551615 now lower: 4
Visiting 2264, was 18446744073709551615 now lower: 4
Visiting 2151, was 18446744073709551615 now lower: 5
Visiting 2377, was 18446744073709551615 now lower: 5
Visiting 2490, was 18446744073709551615 now lower: 6
Visiting 2603, was 18446744073709551615 now lower: 7
Visiting 2489, was 18446744073709551615 now lower: 7
Visiting 2602, was 18446744073709551615 now lower: 8
Visiting 2488, was 18446744073709551615 now lower: 8
Visiting 2601, was 18446744073709551615 now lower: 9
Visiting 2487, was 18446744073709551615 now lower: 9
Visiting 2600, was 18446744073709551615 now lower: 10
Visiting 2713, was 18446744073709551615 now lower: 11
Visiting 2826, was 18446744073709551615 now lower: 12
Visiting 2714, was 18446744073709551615 now lower: 12
Visiting 2827, was 18446744073709551615 now lower: 13
Visiting 2715, was 18446744073709551615 now lower: 13
Visiting 2828, was 18446744073709551615 now lower: 14
Visiting 2716, was 18446744073709551615 now lower: 14
Visiting 2829, was 18446744073709551615 now lower: 15
Visiting 2717, was 18446744073709551615 now lower: 15
Visiting 2604, was 18446744073709551615 now lower: 16
Visiting 2830, was 18446744073709551615 now lower: 16
Visiting 2718, was 18446744073709551615 now lower: 16
Visiting 2605, was 18446744073709551615 now lower: 17
Visiting 2831, was 18446744073709551615 now lower: 17
Visiting 2941, was 18446744073709551615 now lower: 15
Visiting 3054, was 18446744073709551615 now lower: 16
Visiting 2940, was 18446744073709551615 now lower: 16
Visiting 3053, was 18446744073709551615 now lower: 17
Visiting 2939, was 18446744073709551615 now lower: 17
Visiting 3052, was 18446744073709551615 now lower: 18
Visiting 3165, was 18446744073709551615 now lower: 19
Visiting 3278, was 18446744073709551615 now lower: 20
Visiting 3166, was 18446744073709551615 now lower: 20
Visiting 3279, was 18446744073709551615 now lower: 21
Visiting 3392, was 18446744073709551615 now lower: 22
Visiting 3280, was 18446744073709551615 now lower: 22
Visiting 3393, was 18446744073709551615 now lower: 23
Visiting 3281, was 18446744073709551615 now lower: 23
Visiting 3168, was 18446744073709551615 now lower: 24
Visiting 3394, was 18446744073709551615 now lower: 24
Visiting 3282, was 18446744073709551615 now lower: 24
Visiting 3169, was 18446744073709551615 now lower: 25
Visiting 3395, was 18446744073709551615 now lower: 25
Visiting 3283, was 18446744073709551615 now lower: 25
Visiting 3170, was 18446744073709551615 now lower: 26
Visiting 3507, was 18446744073709551615 now lower: 25
Visiting 3620, was 18446744073709551615 now lower: 26
Visiting 3506, was 18446744073709551615 now lower: 26
Visiting 3619, was 18446744073709551615 now lower: 27
Visiting 3505, was 18446744073709551615 now lower: 27
Visiting 3618, was 18446744073709551615 now lower: 28
Visiting 3504, was 18446744073709551615 now lower: 28
Visiting 3391, was 18446744073709551615 now lower: 29
Visiting 3617, was 18446744073709551615 now lower: 29
Visiting 3730, was 18446744073709551615 now lower: 30
Visiting 3843, was 18446744073709551615 now lower: 31
Visiting 3731, was 18446744073709551615 now lower: 31
Visiting 3732, was 18446744073709551615 now lower: 32
